taskid,reference,category, ID
18-139102-89578,"0",building_easy_1,"1"
18-139102-89579,"1",building_easy_1,"1"
18-139102-89580,"0",building_easy_1,"1"
18-139103-89578,"1",building_easy_1,"1"
18-139103-89579,"1",building_easy_1,"1"
18-139103-89580,"1",building_easy_1,"1"
18-139074-89507,"1",building_easy_2,"2"
18-139074-89508,"1",building_easy_2,"2"
18-139074-89509,"1",building_easy_2,"2"
18-139075-89507,"1",building_easy_2,"2"
18-139075-89508,"1",building_easy_2,"2"
18-139075-89509,"1",building_easy_2,"2"
18-139146-89591,"0",no_building_easy_1,"3"
18-139146-89592,"0",no_building_easy_1,"3"
18-139146-89593,"0",no_building_easy_1,"3"
18-139147-89591,"0",no_building_easy_1,"3"
18-139147-89592,"0",no_building_easy_1,"3"
18-139147-89593,"0",no_building_easy_1,"3"
18-148151-101576,"2",maybe_1,"4"
18-148151-101577,"2",maybe_1,"4"
18-148151-101578,"2",maybe_1,"4"
18-148152-101576,"2",maybe_1,"4"
18-148152-101577,"2",maybe_1,"4"
18-148152-101578,"2",maybe_1,"4"
18-147944-101610,"2",maybe_2,"9"
18-147944-101611,"2",maybe_2,"9"
18-147944-101612,"2",maybe_2,"9"
18-147945-101610,"2",maybe_2,"9"
18-147945-101611,"2",maybe_2,"9"
18-147945-101612,"2",maybe_2,"9"
18-64984-120438,"3",bad_clouds_1,"5"
18-64984-120439,"0",bad_clouds_1,"5"
18-64984-120437,"3",bad_clouds_1,"5"
18-64985-120439,"3",bad_clouds_1,"5"
18-64985-120437,"3",bad_clouds_1,"5"
18-64985-120438,"3",bad_clouds_1,"5"
18-208640-120212,"0",bad_no_imagery_1,"6"
18-208640-120213,"0",bad_no_imagery_1,"6"
18-208640-120214,"0",bad_no_imagery_1,"6"
18-208639-120213,"3",bad_no_imagery_1,"6"
18-208639-120214,"3",bad_no_imagery_1,"6"
18-208639-120212,"3",bad_no_imagery_1,"6"
18-157556-134648,"3",bad_no_imagery_2,"7"
18-157555-134649,"3",bad_no_imagery_2,"7"
18-157556-134649,"3",bad_no_imagery_2,"7"
18-157555-134647,"3",bad_no_imagery_2,"7"
18-157555-134648,"3",bad_no_imagery_2,"7"
18-157556-134647,"3",bad_no_imagery_2,"7"
18-208633-119337,"0",no_building_easy_2,"8"
18-208632-119337,"0",no_building_easy_2,"8"
18-208632-119338,"0",no_building_easy_2,"8"
18-208633-119338,"0",no_building_easy_2,"8"
18-208632-119336,"0",no_building_easy_2,"8"
18-208633-119336,"0",no_building_easy_2,"8"
