taskid,reference,category,ID
18-155239-139257,3,bad_clouds,2
18-155239-139258,3,bad_clouds,2
18-155238-139258,3,bad_clouds,2
18-155239-139256,3,bad_clouds,2
18-155238-139256,3,bad_clouds,2
18-155238-139257,3,bad_clouds,2
18-208656-120104,3,bad_clouds,1
18-208657-120104,3,bad_clouds,1
18-208656-120105,3,bad_clouds,1
18-208656-120106,3,bad_clouds,1
18-208657-120105,3,bad_clouds,1
18-208657-120106,3,bad_clouds,1
18-64984-120438,3,bad_clouds,3
18-64984-120439,0,bad_clouds,3
18-64984-120437,3,bad_clouds,3
18-64985-120439,0,bad_clouds,3
18-64985-120437,3,bad_clouds,3
18-64985-120438,3,bad_clouds,3
18-166226-141295,3,bad_clouds,4
18-166226-141293,3,bad_clouds,4
18-166226-141294,3,bad_clouds,4
18-166227-141293,3,bad_clouds,4
18-166227-141294,3,bad_clouds,4
18-166227-141295,3,bad_clouds,4
18-166538-141283,3,bad_clouds,5
18-166539-141283,0,bad_clouds,5
18-166539-141284,0,bad_clouds,5
18-166538-141284,3,bad_clouds,5
18-166539-141282,3,bad_clouds,5
18-166538-141282,0,bad_clouds,5
18-208640-120212,0,bad_no_imagery,6
18-208640-120213,0,bad_no_imagery,6
18-208640-120214,0,bad_no_imagery,6
18-208639-120213,3,bad_no_imagery,6
18-208639-120214,3,bad_no_imagery,6
18-208639-120212,3,bad_no_imagery,6
18-158410-134661,3,bad_no_imagery,7
18-158410-134659,3,bad_no_imagery,7
18-158409-134660,3,bad_no_imagery,7
18-158409-134661,3,bad_no_imagery,7
18-158409-134659,3,bad_no_imagery,7
18-158410-134660,3,bad_no_imagery,7
18-157631-134613,3,bad_no_imagery,8
18-157631-134614,3,bad_no_imagery,8
18-157631-134612,3,bad_no_imagery,8
18-157632-134613,3,bad_no_imagery,8
18-157632-134614,3,bad_no_imagery,8
18-157632-134612,3,bad_no_imagery,8
18-157556-134648,3,bad_no_imagery,9
18-157555-134649,3,bad_no_imagery,9
18-157556-134649,3,bad_no_imagery,9
18-157555-134647,3,bad_no_imagery,9
18-157555-134648,3,bad_no_imagery,9
18-157556-134647,3,bad_no_imagery,9
18-157248-133391,1,bad_no_imagery,10
18-157247-133392,3,bad_no_imagery,10
18-157247-133393,3,bad_no_imagery,10
18-157248-133392,1,bad_no_imagery,10
18-157248-133393,0,bad_no_imagery,10
18-157247-133391,3,bad_no_imagery,10
18-150693-124463,0,building_difficult,11
18-150693-124462,1,building_difficult,11
18-150693-124461,0,building_difficult,11
18-150692-124463,0,building_difficult,11
18-150692-124462,0,building_difficult,11
18-150692-124461,0,building_difficult,11
18-150688-124388,0,building_difficult,12
18-150688-124387,0,building_difficult,12
18-150688-124386,1,building_difficult,12
18-150687-124388,1,building_difficult,12
18-150687-124387,1,building_difficult,12
18-150687-124386,1,building_difficult,12
18-150609-124433,0,building_difficult,13
18-150609-124432,0,building_difficult,13
18-150609-124431,0,building_difficult,13
18-150608-124433,0,building_difficult,13
18-150608-124432,1,building_difficult,13
18-150608-124431,1,building_difficult,13
18-155161-139278,1,building_difficult,14
18-155160-139280,0,building_difficult,14
18-155161-139279,0,building_difficult,14
18-155161-139280,0,building_difficult,14
18-155160-139278,0,building_difficult,14
18-155160-139279,0,building_difficult,14
18-154580-140106,1,building_difficult,15
18-154580-140107,1,building_difficult,15
18-154581-140107,1,building_difficult,15
18-154581-140108,1,building_difficult,15
18-154580-140108,1,building_difficult,15
18-154581-140106,1,building_difficult,15
18-208684-119949,1,building_easy,16
18-208683-119949,1,building_easy,16
18-208683-119950,1,building_easy,16
18-208684-119950,0,building_easy,16
18-208683-119948,0,building_easy,16
18-208684-119948,1,building_easy,16
