project_id,group_id,number_of_tasks,finished_count,required_count,project_type_specifics
5519,169,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119240"", ""yMax"": ""122946"", ""yMin"": ""122944"", ""zoomLevel"": 18}"
5519,113,120,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119280"", ""yMax"": ""122988"", ""yMin"": ""122986"", ""zoomLevel"": 18}"
5519,193,210,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119250"", ""yMax"": ""122928"", ""yMin"": ""122926"", ""zoomLevel"": 18}"
5519,205,159,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119266"", ""yMax"": ""122919"", ""yMin"": ""122917"", ""zoomLevel"": 18}"
5519,182,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122937"", ""yMin"": ""122935"", ""zoomLevel"": 18}"
5519,158,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122955"", ""yMin"": ""122953"", ""zoomLevel"": 18}"
5519,153,218,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119248"", ""yMax"": ""122958"", ""yMin"": ""122956"", ""zoomLevel"": 18}"
5519,142,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122967"", ""yMin"": ""122965"", ""zoomLevel"": 18}"
5519,216,48,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119495"", ""xMin"": ""119480"", ""yMax"": ""122913"", ""yMin"": ""122911"", ""zoomLevel"": 18}"
5519,124,45,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119503"", ""xMin"": ""119480"", ""yMax"": ""122982"", ""yMin"": ""122980"", ""zoomLevel"": 18}"
5519,164,61,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119500"", ""xMin"": ""119480"", ""yMax"": ""122952"", ""yMin"": ""122950"", ""zoomLevel"": 18}"
5519,147,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122964"", ""yMin"": ""122962"", ""zoomLevel"": 18}"
5519,223,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122907"", ""yMin"": ""122905"", ""zoomLevel"": 18}"
5519,175,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122943"", ""yMin"": ""122941"", ""zoomLevel"": 18}"
5519,170,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122946"", ""yMin"": ""122944"", ""zoomLevel"": 18}"
5519,128,75,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119505"", ""xMin"": ""119480"", ""yMax"": ""122979"", ""yMin"": ""122977"", ""zoomLevel"": 18}"
5519,121,141,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119273"", ""yMax"": ""122982"", ""yMin"": ""122980"", ""zoomLevel"": 18}"
5519,135,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122973"", ""yMin"": ""122971"", ""zoomLevel"": 18}"
5519,110,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122991"", ""yMin"": ""122989"", ""zoomLevel"": 18}"
5519,141,193,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119255"", ""yMax"": ""122967"", ""yMin"": ""122965"", ""zoomLevel"": 18}"
5519,132,80,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119506"", ""xMin"": ""119480"", ""yMax"": ""122976"", ""yMin"": ""122974"", ""zoomLevel"": 18}"
5519,139,243,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122970"", ""yMin"": ""122968"", ""zoomLevel"": 18}"
5519,201,177,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119260"", ""yMax"": ""122922"", ""yMin"": ""122920"", ""zoomLevel"": 18}"
5519,117,131,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119276"", ""yMax"": ""122985"", ""yMin"": ""122983"", ""zoomLevel"": 18}"
5519,181,237,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119241"", ""yMax"": ""122937"", ""yMin"": ""122935"", ""zoomLevel"": 18}"
5519,236,38,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119492"", ""xMin"": ""119480"", ""yMax"": ""122898"", ""yMin"": ""122896"", ""zoomLevel"": 18}"
5519,197,195,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119254"", ""yMax"": ""122925"", ""yMin"": ""122923"", ""zoomLevel"": 18}"
5519,262,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122877"", ""yMin"": ""122875"", ""zoomLevel"": 18}"
