taskid,reference,category,ID
18-208656-120104,"3",bad_clouds_1,"1"
18-208657-120104,"3",bad_clouds_1,"1"
18-208656-120105,"3",bad_clouds_1,"1"
18-208656-120106,"3",bad_clouds_1,"1"
18-208657-120105,"3",bad_clouds_1,"1"
18-208657-120106,"3",bad_clouds_1,"1"
18-64984-120438,"3",bad_clouds_2,"2"
18-64984-120439,"0",bad_clouds_2,"2"
18-64984-120437,"3",bad_clouds_2,"2"
18-64985-120439,"0",bad_clouds_2,"2"
18-64985-120437,"3",bad_clouds_2,"2"
18-64985-120438,"3",bad_clouds_2,"2"
18-208640-120212,"0",bad_no_imagery_1,"3"
18-208640-120213,"0",bad_no_imagery_1,"3"
18-208640-120214,"0",bad_no_imagery_1,"3"
18-208639-120213,"3",bad_no_imagery_1,"3"
18-208639-120214,"3",bad_no_imagery_1,"3"
18-208639-120212,"3",bad_no_imagery_1,"3"
18-157556-134648,"3",bad_no_imagery_2,"4"
18-157555-134649,"3",bad_no_imagery_2,"4"
18-157556-134649,"3",bad_no_imagery_2,"4"
18-157555-134647,"3",bad_no_imagery_2,"4"
18-157555-134648,"3",bad_no_imagery_2,"4"
18-157556-134647,"3",bad_no_imagery_2,"4"
18-208684-119949,"1",building_easy_1,"5"
18-208683-119949,"1",building_easy_1,"5"
18-208683-119950,"1",building_easy_1,"5"
18-208684-119950,"0",building_easy_1,"5"
18-208683-119948,"0",building_easy_1,"5"
18-208684-119948,"1",building_easy_1,"5"
18-65041-120546,"0",building_easy_2,"7"
18-65041-120547,"0",building_easy_2,"7"
18-65040-120547,"0",building_easy_2,"7"
18-65041-120545,"1",building_easy_2,"7"
18-65040-120545,"0",building_easy_2,"7"
18-65040-120546,"1",building_easy_2,"7"
18-154989-139653,"0",no_building_easy_1,"6"
18-154988-139651,"0",no_building_easy_1,"6"
18-154989-139651,"0",no_building_easy_1,"6"
18-154989-139652,"0",no_building_easy_1,"6"
18-154988-139652,"0",no_building_easy_1,"6"
18-154988-139653,"0",no_building_easy_1,"6"
18-208633-119337,"0",no_building_easy_2,"8"
18-208632-119337,"0",no_building_easy_2,"8"
18-208632-119338,"0",no_building_easy_2,"8"
18-208633-119338,"0",no_building_easy_2,"8"
18-208632-119336,"0",no_building_easy_2,"8"
18-208633-119336,"0",no_building_easy_2,"8"
