TileX,TileY,TileZ,reference,category,id
"38454","32164","16","0",no_changes,"1"
"38472","32165","16","2",maybe,"1"
"38460","32166","16","0",no_changes,"2"
"38464","32168","16","1",changes,"1"
"38467","32169","16","1",changes,"2"
"38475","32173","16","2",maybe,"2"
"38476","32173","16","2",maybe,"3"
"38461","32175","16","1",changes,"3"
"38457","32178","16","1",changes,"4"
"38458","32179","16","0",no_changes,"3"
"38471","32179","16","3",bad_imagery,"1"
"38466","32180","16","3",bad_imagery,"2"
"38467","32180","16","3",bad_imagery,"3"
"38471","32180","16","3",bad_imagery,"4"
"38472","32180","16","3",bad_imagery,"5"
"38459","32183","16","0",no_changes,"4"
"38460","32185","16","0",no_changes,"5"
"38449","32186","16","1",changes,"5"
"38448","32187","16","2",maybe,"4"
"38462","32188","16","2",maybe,"5"
